Scenario, TID, Test Data, Test Case Description, Pre-Condition, Test Steps, Expected Result, Actual Result, Status, Executed By (QA Name), Misc (Comments), Priority, Is Automated
Functional: Login - Valid, TC-001, username: standard_user / password: secret_sauce, Verify successful login with valid standard_user credentials, User is on SauceDemo login page (https://www.saucedemo.com/), 1. Open https://www.saucedemo.com/ ; 2. Enter "standard_user" in username field ; 3. Enter "secret_sauce" in password field ; 4. Click Login button, User is redirected to Swag Labs inventory page (URL contains "/inventory.html") and sees product catalog, , Not Executed, , Inference (low confidence): PRD not provided – derived from site behavior and public documentation, High, No
Functional: Login - Valid (performance_glitch_user), TC-002, username: performance_glitch_user / password: secret_sauce, Verify successful login with performance_glitch_user (may have simulated delay), User is on login page, 1. Open https://www.saucedemo.com/ ; 2. Enter "performance_glitch_user" ; 3. Enter "secret_sauce" ; 4. Click Login, User reaches inventory page, though login may take >2 seconds longer than standard_user, , Not Executed, , Inference (low confidence): based on username hint "performance_glitch", Medium, No
Functional: Login - Valid (problem_user), TC-003, username: problem_user / password: secret_sauce, Verify login succeeds with problem_user, User on login page, 1. Open https://www.saucedemo.com/ ; 2. Enter "problem_user" ; 3. Enter "secret_sauce" ; 4. Click Login, User is redirected to inventory page. Note: subsequent UI/images may behave inconsistently as per username trait, , Not Executed, , Inference (low confidence): derived from username pattern, Medium, No
Functional: Login - Valid (error_user), TC-004, username: error_user / password: secret_sauce, Verify login succeeds with error_user, User on login page, 1. Open https://www.saucedemo.com/ ; 2. Enter "error_user" ; 3. Enter "secret_sauce" ; 4. Click Login, User lands on inventory page. Error messages may appear on subsequent actions, , Not Executed, , Inference (low confidence): based on username semantic, Medium, No
Functional: Login - Valid (visual_user), TC-005, username: visual_user / password: secret_sauce, Verify login with visual_user (used for visual testing), User on login page, 1. Open https://www.saucedemo.com/ ; 2. Enter "visual_user" ; 3. Enter "secret_sauce" ; 4. Click Login, Inventory page loads; visual layout may differ from standard_user, , Not Executed, , Inference (low confidence): based on username description, Medium, No
Functional: Login - Invalid (locked_out_user), TC-006, username: locked_out_user / password: secret_sauce, Verify locked_out_user cannot log in and sees appropriate error, User on login page, 1. Open https://www.saucedemo.com/ ; 2. Enter "locked_out_user" ; 3. Enter "secret_sauce" ; 4. Click Login, User remains on login page with error message: "Epic sadface: Sorry, this user has been locked out.", , Not Executed, , Requirement derived from site: locked_out_user is explicitly listed; error text is from actual site behavior, High, No
Functional: Login - Invalid (wrong password), TC-007, username: standard_user / password: wrong_password, Verify login fails with incorrect password, User on login page, 1. Open https://www.saucedemo.com/ ; 2. Enter "standard_user" ; 3. Enter "invalid123" ; 4. Click Login, User stays on login page and sees error: "Epic sadface: Username and password do not match any user in this service", , Not Executed, , Expected error derived from standard login failure behavior (publicly known), High, No
Functional: Login - Invalid (non-existent user), TC-008, username: nonexistent@example.com / password: secret_sauce, Verify login fails for unregistered username, User on login page, 1. Open https://www.saucedemo.com/ ; 2. Enter "nonexistent@example.com" ; 3. Enter "secret_sauce" ; 4. Click Login, Same error as TC-007: "Epic sadface: Username and password do not match any user in this service", , Not Executed, , Insufficient information to determine if error message is identical; based on standard web app behavior, Medium, No
Functional: Login - Empty fields, TC-009, username: <empty> / password: <empty>, Verify validation when both fields are empty, User on login page, 1. Open https://www.saucedemo.com/ ; 2. Leave username field blank ; 3. Leave password field blank ; 4. Click Login, User remains on login page with error: "Epic sadface: Username is required", , Not Executed, , From observed UI validation (publicly documented behavior), Medium, No
Functional: Logout, TC-010, N/A (no test data required), Verify user can log out successfully from inventory page, User is logged in and on inventory page, 1. Click on hamburger menu (top-left) ; 2. Click "Logout" link ; 3. Verify return to login page, User is redirected to https://www.saucedemo.com/ and login form is visible. Cart/state is cleared per session, , Not Executed, , Inference (medium confidence) from standard web app session behavior, High, No
Non-Functional: Performance - Login response time, TC-011, username: performance_glitch_user / password: secret_sauce, Measure login response time for performance_glitch_user vs standard_user, User on login page with browser DevTools or performance tool, 1. Record start time; 2. Enter credentials; 3. Click Login; 4. Record time until inventory page fully loads; 5. Compare with standard_user (TC-001), performance_glitch_user login should be slower (>=2 seconds additional delay) but still complete successfully, , Not Executed, , Inference (low confidence): based on username literal description; no PRD provided, Medium, No
Non-Functional: Security - No session reuse after logout, TC-012, standard_user / secret_sauce, Verify that after logout, previous session token cannot access protected pages, User logged in and then logged out, 1. Log in as standard_user; 2. Copy session cookie/token; 3. Log out; 4. Attempt to access /inventory.html directly with copied token, Request is rejected and user is redirected to login page, , Not Executed, , Inference (low confidence): standard security practice, not explicitly in provided inputs, Medium, No
